City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
102,Thompson,CA,73.8,overcast clouds,55.7435,-97.8558,Burntwood Hotel
103,Hilo,US,82.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
104,Lorengau,PG,79.9,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
105,Hithadhoo,MV,83.03,clear sky,-0.6,73.0833,Scoop Guest House
106,Atbasar,KZ,57.29,broken clouds,51.8,68.3333,"The Ritz-Carlton, Astana"
107,Faanui,PF,80.8,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
108,Xai-Xai,MZ,64.83,broken clouds,-25.0519,33.6442,Complexo da Familia
109,Souillac,MU,72.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
110,Alexandria,EG,71.47,clear sky,31.2156,29.9553,Royal Crown Hotel
111,Chapleau,CA,78.76,overcast clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
112,Itoman,JP,75.58,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
115,Nouadhibou,MR,69.53,overcast clouds,20.931,-17.0347,El Medina
116,Lebu,CL,51.75,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
117,Ca Mau,VN,80.6,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
118,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
119,Kupang,ID,74.48,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
120,Baishishan,CN,48.6,clear sky,43.5833,127.5667,白林宾馆
122,Rio Gallegos,AR,41.05,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
123,Nieuwpoort,BE,63.21,clear sky,51.1244,2.7735,Hotel Gemeente Huis
124,Osakarovka,KZ,54.45,overcast clouds,50.565,72.5692,Motel' Osakarovka
125,Ponta Do Sol,PT,69.71,clear sky,32.6667,-17.1,Hotel do Campo
126,Killybegs,IE,52.45,overcast clouds,54.6333,-8.45,Tara Hotel
127,Victoria,HK,82.45,scattered clouds,22.2855,114.1577,Mini Hotel Central
128,Inongo,CD,69.89,light rain,-1.95,18.2667,Hotel Du Lac
