City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Guadalupe Y Calvo,MX,6/5/21 20:29,26.1,-106.9667,75.94,21,97,10.56
216,Clyde River,CA,6/5/21 20:29,70.4692,-68.5914,32.23,93,90,16.11
217,Torbay,CA,6/5/21 20:29,47.6666,-52.7314,53.76,93,90,10.36
218,East London,ZA,6/5/21 20:29,-33.0153,27.9116,59.13,77,2,9.4
219,Grindavik,IS,6/5/21 20:26,63.8424,-22.4338,50.56,87,75,23.29
220,Tecpan,GT,6/5/21 20:29,14.7623,-90.9947,70.56,73,88,3.65
221,Tara,RU,6/5/21 20:29,56.8944,74.371,55.26,71,20,8.52
222,Kumluca,TR,6/5/21 20:29,36.3703,30.2869,71.38,47,0,6.31
223,Laguna,US,6/5/21 20:29,38.421,-121.4238,94.44,39,1,1.01
224,Acapulco,MX,6/5/21 20:25,16.8634,-99.8901,87.62,70,75,8.66
225,Kruisfontein,ZA,6/5/21 20:28,-34.0033,24.7314,52.05,45,0,6.26
226,Westport,US,6/5/21 20:29,41.1415,-73.3579,95.27,48,1,4
227,Petropolis,RU,6/5/21 20:25,59.8944,30.2642,62.74,59,82,3.38
228,Provideniya,RU,6/5/21 20:29,64.3833,-173.3,36.84,90,100,8.16
229,San-Pedro,CI,6/5/21 20:29,4.7485,-6.6363,78.84,88,100,9.22
230,Sinnamary,GF,6/5/21 20:29,5.3833,-52.95,81.16,78,25,10.51
231,Chanderi,IN,6/5/21 20:29,24.7167,78.1333,82.02,62,28,13.4
232,Rio Grande,BR,6/5/21 20:29,-32.035,-52.0986,62.71,93,99,9.42
233,Korla,CN,6/5/21 20:29,41.7597,86.1469,76.77,25,62,7.63
234,Khvoynaya,RU,6/5/21 20:29,58.9,34.5333,55.78,74,0,3.49
235,Pori,FI,6/5/21 20:29,61.4833,21.7833,60.87,63,0,4.61
236,Vuktyl,RU,6/5/21 20:29,63.8567,57.3094,58.82,70,75,1.97
237,Sokyryany,UA,6/5/21 20:29,48.4475,27.4168,59.9,92,100,6.35
238,Qasigiannguit,GL,6/5/21 20:29,68.8193,-51.1922,48.45,64,13,7.14
239,Kodinsk,RU,6/5/21 20:29,58.6881,99.1844,40.37,62,100,3.09
240,Kangaatsiaq,GL,6/5/21 20:29,68.3065,-53.4641,37.81,89,18,8.84
241,Nome,US,6/5/21 20:29,64.5011,-165.4064,35.67,87,90,14.97
242,Rio Gallegos,AR,6/5/21 20:29,-51.6226,-69.2181,35.65,80,0,16.11
243,Ambatofinandrahana,MG,6/5/21 20:29,-20.55,46.8,52.57,92,9,2.89
244,Vardo,NO,6/5/21 20:29,70.3705,31.1107,40.98,81,40,8.05
245,Boissevain,CA,6/5/21 20:29,49.2306,-100.0559,99.1,38,9,13.4
246,Staunton,US,6/5/21 20:26,38.1496,-79.0717,89.74,35,40,3
247,Bereda,ES,6/5/21 20:29,43.2686,-7.5406,60.55,91,5,4.59
248,Balakhninskiy,RU,6/5/21 20:29,58.0106,114.2769,55.45,91,99,3.11
249,Bathsheba,BB,6/5/21 20:26,13.2167,-59.5167,83.01,65,40,19.51
250,Santo Antonio Do Ica,BR,6/5/21 20:29,-3.1022,-67.9397,82.51,87,56,3.29
251,Kalabo,ZM,6/5/21 20:29,-14.97,22.6814,57.78,48,67,6.98
252,Channel-Port Aux Basques,CA,6/5/21 20:29,47.5702,-59.1367,52.36,94,100,13.71
253,Palmer,US,6/5/21 20:29,42.1584,-72.3287,92.01,45,75,1.01
254,Nshamba,TZ,6/5/21 20:29,-1.7983,31.5511,64.8,68,21,3.38
255,Chokurdakh,RU,6/5/21 20:29,70.6333,147.9167,54.37,69,23,9.91
256,Port Blair,IN,6/5/21 20:29,11.6667,92.75,83.77,77,100,9.95
257,Roald,NO,6/5/21 20:29,62.5833,6.1333,65.16,94,90,8.05
258,Ostrovnoy,RU,6/5/21 20:29,68.0531,39.5131,40.98,84,15,11.3
259,Yataity,PY,6/5/21 20:29,-26.3667,-56.0667,80.35,45,100,1.95
260,Mendi,PG,6/5/21 20:29,-6.1761,143.6513,54.12,97,91,2.37
261,Walvis Bay,NA,6/5/21 20:29,-22.9575,14.5053,76.15,16,0,11.61
262,Comodoro Rivadavia,AR,6/5/21 20:29,-45.8667,-67.5,51.66,46,40,10.36
263,Bushehr,IR,6/5/21 20:29,28.9684,50.8385,93.29,52,0,11.5
264,Karratha,AU,6/5/21 20:29,-20.7377,116.8463,70.92,75,60,10.65
265,Itaueira,BR,6/5/21 20:29,-7.6033,-43.0256,90.81,31,21,10.45
266,Hukuntsi,BW,6/5/21 20:29,-24,21.75,50.85,47,0,10.25
267,Bilibino,RU,6/5/21 20:29,68.0546,166.4372,60.87,44,46,5.79
268,Urubicha,BO,6/5/21 20:29,-15.3833,-62.95,89.33,34,92,5.73
