City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Kahului,US,2021-06-06 20:11:29,20.8947,-156.47,83.46,66,20,20.71,few clouds
139,Santa Fe,AR,2021-06-06 20:12:38,-31.6333,-60.7,61.92,44,8,1.01,clear sky
140,Najran,SA,2021-06-06 20:12:41,17.4924,44.1277,82.45,16,5,3.15,clear sky
141,Alihe,CN,2021-06-06 20:12:42,50.5667,123.7167,47.37,80,30,1.77,scattered clouds
142,Fortuna,US,2021-06-06 20:12:44,40.5982,-124.1573,70.2,61,20,8.01,few clouds
143,Atar,MR,2021-06-06 20:12:45,20.5169,-13.0499,100.87,14,11,16.06,few clouds
144,Airai,TL,2021-06-06 20:12:47,-8.9266,125.4092,55.06,82,69,2.75,broken clouds
145,Marfino,RU,2021-06-06 20:12:48,55.7028,37.3822,62.74,88,0,4.72,clear sky
146,Nikolskoye,RU,2021-06-06 20:12:49,59.7035,30.7861,62.49,73,43,4.7,scattered clouds
147,Yatou,CN,2021-06-06 20:12:51,37.15,122.3833,68.02,68,98,3.06,light rain
148,Hobyo,SO,2021-06-06 20:12:52,5.3505,48.5268,78.87,87,32,26.55,scattered clouds
149,Umm Lajj,SA,2021-06-06 20:12:53,25.0213,37.2685,84.22,49,0,10.0,clear sky
150,Port Hardy,CA,2021-06-06 20:12:57,50.6996,-127.4199,51.51,76,100,12.3,overcast clouds
151,Christchurch,NZ,2021-06-06 20:12:58,-43.5333,172.6333,48.99,97,90,3.0,heavy intensity drizzle
152,Tuatapere,NZ,2021-06-06 20:12:59,-46.1333,167.6833,40.93,92,22,4.54,few clouds
153,Oranjemund,NA,2021-06-06 20:13:01,-28.55,16.4333,69.26,30,0,9.22,clear sky
154,Dunedin,NZ,2021-06-06 20:09:24,-45.8742,170.5036,44.8,87,95,3.8,overcast clouds
155,Belawan,ID,2021-06-06 20:13:05,3.7755,98.6832,77.29,89,95,5.1,overcast clouds
156,Cairns,AU,2021-06-06 20:13:06,-16.9167,145.7667,69.75,89,90,9.22,overcast clouds
157,Yelizovo,RU,2021-06-06 20:13:07,53.1873,158.3805,42.94,100,90,0.0,light rain
158,Vao,NC,2021-06-06 20:11:01,-22.6667,167.4833,70.21,68,100,16.17,overcast clouds
159,Gabu,GW,2021-06-06 20:13:11,12.2833,-14.2167,94.5,33,0,8.14,clear sky
160,Chuy,UY,2021-06-06 20:13:12,-33.6971,-53.4616,54.05,75,100,5.06,overcast clouds
161,Kavieng,PG,2021-06-06 20:13:13,-2.5744,150.7967,81.34,77,90,7.43,light rain
162,Marsa Matruh,EG,2021-06-06 20:13:15,31.3525,27.2453,70.61,68,0,8.32,clear sky
163,Khatanga,RU,2021-06-06 20:13:16,71.9667,102.5,32.61,94,97,5.48,overcast clouds
164,Lasa,IT,2021-06-06 20:12:55,46.6166,10.7002,60.71,92,100,4.05,overcast clouds
165,Peniche,PT,2021-06-06 20:13:19,39.3558,-9.3811,64.72,83,0,16.8,clear sky
166,Longyearbyen,SJ,2021-06-06 20:13:20,78.2186,15.6401,39.04,70,0,17.27,clear sky
167,Necochea,AR,2021-06-06 20:08:56,-38.5473,-58.7368,54.03,54,100,3.91,overcast clouds
168,Cabo San Lucas,MX,2021-06-06 20:13:11,22.8909,-109.9124,102.81,35,1,10.36,clear sky
169,Tuktoyaktuk,CA,2021-06-06 20:13:23,69.4541,-133.0374,36.07,75,15,8.48,few clouds
170,Bluff,NZ,2021-06-06 20:13:25,-46.6,168.3333,46.9,84,76,9.33,broken clouds
171,Port Lincoln,AU,2021-06-06 20:13:27,-34.7333,135.8667,60.3,51,100,22.53,overcast clouds
172,Oktyabrskiy,RU,2021-06-06 20:13:29,54.4815,53.471,55.87,75,6,1.34,clear sky
173,Goderich,CA,2021-06-06 20:13:30,43.7501,-81.7165,87.21,75,16,10.47,few clouds
174,Siderno,IT,2021-06-06 20:13:31,38.2779,16.302,75.34,62,95,5.17,overcast clouds
175,Okhotsk,RU,2021-06-06 20:13:32,59.3833,143.3,42.78,87,100,2.68,overcast clouds
176,Tazovskiy,RU,2021-06-06 20:13:34,67.4667,78.7,32.05,86,97,10.0,overcast clouds
177,Ostrovnoy,RU,2021-06-06 20:13:35,68.0531,39.5131,39.67,87,7,8.16,clear sky
178,Cidreira,BR,2021-06-06 20:13:37,-30.1811,-50.2056,63.18,78,100,10.18,moderate rain
179,Berck,FR,2021-06-06 20:13:38,50.4,1.6,60.51,100,90,4.52,overcast clouds
180,Bull Savanna,JM,2021-06-06 20:13:39,17.8868,-77.5902,84.27,63,12,19.66,few clouds
181,Avera,US,2021-06-06 20:13:41,33.194,-82.5271,91.71,61,99,9.1,moderate rain
182,Youghal,IE,2021-06-06 20:13:42,51.95,-7.8506,57.99,85,91,5.28,overcast clouds
183,Kodinsk,RU,2021-06-06 20:13:43,58.6881,99.1844,40.08,77,23,4.09,few clouds
184,Imbituba,BR,2021-06-06 20:13:45,-28.24,-48.6703,67.89,95,100,7.56,moderate rain
185,Marawi,PH,2021-06-06 20:13:46,7.9986,124.2928,63.64,91,100,2.39,overcast clouds
186,Narsaq,GL,2021-06-06 20:13:47,60.9167,-46.05,55.62,68,100,3.71,overcast clouds
187,Yar-Sale,RU,2021-06-06 20:13:49,66.8333,70.8333,35.33,83,34,10.29,scattered clouds
188,Husavik,IS,2021-06-06 20:13:50,66.0449,-17.3389,53.69,62,86,13.04,overcast clouds
189,Kirakira,SB,2021-06-06 20:13:51,-10.4544,161.9205,79.45,84,88,8.5,moderate rain
190,Bereda,ES,2021-06-06 20:10:52,43.2686,-7.5406,60.55,90,32,4.81,scattered clouds
191,Hobart,AU,2021-06-06 20:13:07,-42.8794,147.3294,54.27,81,0,7.38,clear sky
192,Cervo,ES,2021-06-06 20:13:56,43.6702,-7.4101,61.2,84,90,7.67,overcast clouds
193,North Platte,US,2021-06-06 20:11:49,41.1239,-100.7654,91.99,48,1,7.0,clear sky
194,Hervey Bay,AU,2021-06-06 20:13:58,-25.2986,152.8535,56.03,82,1,11.52,clear sky
195,Shorapani,GE,2021-06-06 20:14:00,42.0898,43.0866,54.99,100,98,0.94,overcast clouds
196,Iqaluit,CA,2021-06-06 20:14:02,63.7506,-68.5145,36.7,69,42,4.0,scattered clouds
197,Safaga,EG,2021-06-06 20:14:04,26.7292,33.9365,84.18,34,0,13.35,clear sky
198,King City,US,2021-06-06 20:14:05,36.2127,-121.126,91.22,29,8,1.23,clear sky
199,Saskylakh,RU,2021-06-06 20:14:06,71.9167,114.0833,36.36,68,63,4.52,broken clouds
200,Selizharovo,RU,2021-06-06 20:14:08,56.8519,33.4487,58.53,80,31,4.23,scattered clouds
201,Alghero,IT,2021-06-06 20:14:09,40.5589,8.3181,66.99,94,0,4.61,clear sky
202,Seydi,TM,2021-06-06 20:14:10,39.4816,62.9137,90.7,20,6,14.7,clear sky
203,Esna,EG,2021-06-06 20:14:11,25.2934,32.554,86.16,13,1,13.38,clear sky
204,Touros,BR,2021-06-06 20:14:13,-5.1989,-35.4608,77.9,82,21,13.13,few clouds
205,Hofn,IS,2021-06-06 20:14:14,64.2539,-15.2082,47.35,93,97,11.45,overcast clouds
206,Xuddur,SO,2021-06-06 20:14:15,4.1213,43.8894,76.26,66,64,19.71,broken clouds
207,Vanimo,PG,2021-06-06 20:14:17,-2.6741,141.3028,77.02,88,100,4.94,heavy intensity rain
208,Dayong,CN,2021-06-06 20:14:18,25.0209,118.2898,73.08,70,99,1.66,overcast clouds
209,Lodja,CD,2021-06-06 20:14:20,-3.4833,23.4333,70.14,96,51,2.04,broken clouds
210,Auki,SB,2021-06-06 20:14:21,-8.7676,160.7034,77.63,86,10,3.53,clear sky
211,Dingle,PH,2021-06-06 20:10:56,10.9995,122.6711,75.72,86,100,1.61,light rain
212,Sokoni,TZ,2021-06-06 20:14:23,-6.4333,39.55,79.0,74,5,19.64,clear sky
213,Vila Franca Do Campo,PT,2021-06-06 20:14:25,37.7167,-25.4333,66.61,79,100,3.13,overcast clouds
214,Georgetown,MY,2021-06-06 20:10:32,5.4112,100.3354,80.53,89,20,2.48,few clouds
215,Soria,ES,2021-06-06 20:14:27,41.6667,-2.6667,58.86,71,1,4.18,clear sky
216,Doka,SD,2021-06-06 20:14:28,13.5167,35.7667,90.9,26,100,3.33,overcast clouds
217,Yelatma,RU,2021-06-06 20:14:30,54.9675,41.7508,55.2,97,84,6.11,broken clouds
218,Xiaoweizhai,CN,2021-06-06 20:14:31,26.1903,107.5125,66.06,80,28,2.3,scattered clouds
219,Norman Wells,CA,2021-06-06 20:14:33,65.282,-126.8329,50.04,76,75,12.66,light rain
220,Lavrentiya,RU,2021-06-06 20:12:16,65.5833,-171.0,35.04,81,99,5.03,overcast clouds
221,Diffa,NE,2021-06-06 20:14:35,13.3154,12.6113,90.66,32,12,8.68,few clouds
222,Kiunga,PG,2021-06-06 20:14:36,-6.1219,141.2906,73.17,100,97,1.07,overcast clouds
223,Mungwi,ZM,2021-06-06 20:14:38,-10.1732,31.3694,60.93,64,100,5.7,overcast clouds
224,Komsomolskiy,UZ,2021-06-06 20:14:39,40.4272,71.7189,87.22,44,63,5.37,broken clouds
225,Biltine,TD,2021-06-06 20:14:41,14.5333,20.9167,92.95,17,98,6.42,overcast clouds
226,Indi,IN,2021-06-06 20:14:43,17.1667,75.9667,79.0,73,56,13.53,broken clouds
227,Mahebourg,MU,2021-06-06 20:14:44,-20.4081,57.7,72.25,82,27,11.61,scattered clouds
228,Lazaro Cardenas,MX,2021-06-06 20:14:45,17.9583,-102.2,88.77,59,75,11.74,broken clouds
229,Mamakan,RU,2021-06-06 20:14:47,57.8161,114.0028,49.06,91,100,3.94,overcast clouds
230,Semnan,IR,2021-06-06 20:14:48,35.5729,53.3971,85.53,13,0,2.19,clear sky
231,Cassilandia,BR,2021-06-06 20:14:49,-19.1133,-51.7342,86.61,27,7,4.94,clear sky
232,Hasaki,JP,2021-06-06 20:14:51,35.7333,140.8333,66.29,85,100,1.74,overcast clouds
233,Luderitz,NA,2021-06-06 20:14:52,-26.6481,15.1594,67.48,36,0,5.5,clear sky
234,Hamilton,US,2021-06-06 20:10:53,39.1834,-84.5333,85.39,67,20,1.01,few clouds
235,Ulaangom,MN,2021-06-06 20:14:54,49.9811,92.0667,48.58,59,73,4.59,broken clouds
236,Mapimi,MX,2021-06-06 20:14:56,25.8167,-103.85,93.97,12,0,8.9,clear sky
237,Micheweni,TZ,2021-06-06 20:14:57,-4.9667,39.8333,78.13,74,8,17.2,clear sky
238,Vangaindrano,MG,2021-06-06 20:15:00,-23.35,47.6,65.75,84,96,11.16,light rain
239,Sokolka,PL,2021-06-06 20:15:01,53.4072,23.5023,56.59,82,0,6.4,clear sky
240,Gondar,ET,2021-06-06 20:15:02,12.6,37.4667,70.45,26,100,14.99,overcast clouds
241,Atenas De San Cristobal,HN,2021-06-06 20:15:09,15.6833,-87.3167,95.13,74,20,6.73,few clouds
242,Carnarvon,AU,2021-06-06 20:15:10,-24.8667,113.6333,57.27,82,100,6.91,overcast clouds
243,Upernavik,GL,2021-06-06 20:15:12,72.7868,-56.1549,37.62,85,62,2.68,broken clouds
244,Fairbanks,US,2021-06-06 20:15:13,64.8378,-147.7164,67.1,52,1,0.0,clear sky
245,Neyshabur,IR,2021-06-06 20:15:14,36.2133,58.7958,81.25,31,0,5.48,clear sky
246,Brae,GB,2021-06-06 20:15:16,60.3964,-1.353,53.51,80,45,6.13,scattered clouds
247,Jaciara,BR,2021-06-06 20:11:25,-15.9653,-54.9683,89.92,27,69,5.1,broken clouds
248,Walvis Bay,NA,2021-06-06 20:15:18,-22.9575,14.5053,76.08,24,0,2.82,clear sky
249,Meulaboh,ID,2021-06-06 20:15:19,4.1363,96.1285,74.98,88,100,3.91,overcast clouds
250,Broome,US,2021-06-06 20:15:22,42.2506,-75.833,90.7,45,75,3.0,broken clouds
251,Shimoda,JP,2021-06-06 20:15:23,34.6667,138.95,68.16,86,87,9.44,overcast clouds
252,Viedma,AR,2021-06-06 20:15:22,-40.8135,-62.9967,52.9,38,95,12.21,overcast clouds
253,Constantine,DZ,2021-06-06 20:15:27,36.365,6.6147,67.41,72,75,9.22,broken clouds
254,Sao Filipe,CV,2021-06-06 20:15:28,14.8961,-24.4956,75.92,68,7,6.98,clear sky
255,Kathu,TH,2021-06-06 20:15:29,7.9178,98.3332,87.62,68,100,15.68,overcast clouds
256,Lamar,US,2021-06-06 20:15:31,33.6668,-95.5836,84.52,66,20,8.55,few clouds
257,Pontes E Lacerda,BR,2021-06-06 20:15:32,-15.2261,-59.3353,93.72,28,36,1.83,scattered clouds
258,Praia Da Vitoria,PT,2021-06-06 20:15:33,38.7333,-27.0667,70.05,73,40,4.18,scattered clouds
259,Morehead,US,2021-06-06 20:15:35,37.2711,-87.1764,75.31,89,90,1.01,overcast clouds
260,Mesyagutovo,RU,2021-06-06 20:15:36,55.5303,58.2528,56.53,70,52,1.21,broken clouds
261,Asau,RO,2021-06-06 20:15:37,46.4333,26.4,54.52,87,6,4.27,clear sky
